498441;SUN29,HIPPO22,HIPPO21,HIPPO23,HIPO25,HIPPO24,HIPPO13,HIPO 71,HIPO 72,HIPO 22,SUNFL32,HIPPO29,SUN38,HIPPO73,HIPPO28,HIPPO71,HIPPO72,HIPPO27,HIPPO74,HIPPO32,SUN27,ROSE21,HIPO71,HIPPO75,HIPPO25,CEF4O5,HIPPO 24,HIPPO 71,HIPPO 72,CEF4O7,ROSE23,CEF410,HIPPO12
ae04c1;RCH899,RCH588,LAGR243,LAGR222
ae0581;RCH896,RCH833,RCH844,RCH859,RCH899,RCH705,RCH826,RCH659,RCH250,RCH552,RCH815,RCH445,RCH711,RCH737,RCH803,RCH603,RCH809
498422;CEF08,CEF05B,CEF639,DPHIN11,CEF552,CEF01,CEF02,CEF05N,CEF05D,CEF04,CEF05C,DPHIN41,CEF655,CEF581,CEF585,CEF05F,CEF5013,CEF5015,CEF593,CEF5007,CEF5023,CEF5008,CEF5018,CEF5035,DPHIN21,DPHIN31,CEF521,CEF522,CEF538,CEF548,CEF549,CEF561,CEFO5B,CEF587,CEF588,CEF589,CEF586,DPHIN51,CEF597,CEF05E,CEF03,CEF5011,CEF6074,CEF501W,CEF529
ae10b8;RCH268,RCH800,RCH363,RCH655,RCH633,RCH844,RCH154,RCH990,RCH835,RCH850,RCH840,RCH826,BNDGE02,RCH807,RCH845,RCH842,RCH895,RCH802,RCH804,RCH812,RCH827,RCH572,RCH815
4b7f44;SUI024,SUI527,SUI049,SUI561,SUI541,SUI582,SUI573
49849a;BASIC21,BASIC11,BASIC31,BASIC35,BASIC13,CEF853,BASIC43,CEF851
498435;MDEN21,MDEN11,LION21,MDEN12,MDEN23,MDEN13,SILVO11,SLVO11,MDEN51,SILVO21,MDEN22,CEF330,MDEN43,CEF314,MDEN01,CEF302,SILVO61,MDN41,MDEN42,HIPPO71,HIPOO25
ae065a;RCH984,RCH345
49842d;MDEN12,MDEN41,MDEN21,SIKVO11,CF01,MDEN11,SILVO21,SPRHD21,CEF330,CEF304,MDN11
ae07c4;RCH820
3f8517;GAF553,GAF551,GAF306,GAF313
ae0599;
ae0589;RCH695,RCH557,RCH635,RCH852,RCH227,RCH392,RCH835
43c6b8;RRR6345,RRR6372,RRR6605,RRR6628,RRR6629,RRR6382,RRR6383,RRR6432,RRR6458,RRR6477,RRR6674,RRR6675,RRR6346,RRR99,RRR6700,RRR6701,RRR6652,RRR6718,RRR6721,RRR6653,RRR6662,RRR6663,RRR6668,RRR6669,RRR6706,RRR6707,RRR6680,RRR6681,RRR6730,RRR6731,RRR6340
ae0378;RCH842,RCH415,
43c147;RRR1581,RRR1109,RRR1345,RRR1473
ae6962;SAM786,SAM292,SAM703
ae0587;RCH862,RCH835,RCH439
498433;SILVO51,MDEN12,MDEN22,CF01,CF02,CEF319,SVO12
ae138a;HKY770,HKY163,HKY728,HKY791,HKY793,HKY709
3e87f4;GAFN11A
3f798c;GAFN11B
ae1198;RCH880,RCH870,RCH844,RCH229,RCH835,BNDGE85,RCH172
43c5e7;RRR4940,RRR4944,RRR4945,RRR4941,RRR4943
ae01e1;RCH114
ae0806;RCH888,RCH849,RCH832,RCH861,RCH870,RCH691,RCH643,RCH805,RCH855,RCH552,RCH3227
ae0580;RCH822,RCH207,RCH434,RCH876,RCH145,RCH799,RCH835,RCH869,RCH409,RCH880,RCH545,RCH805,RCH801
ae0219;RCH137,RCH669,RCH845
ae4d68;RCH865,RCH152,BNDGE13,BNDGE20,RCH161,BNDGE23,BNDGE24,BNDGE65,BNDGE66,RCH588,RCH839,RCH923,RCH862,RCH856,RCH1815,RCH260,RCH882
ae04fb;QID43
ae057f;RCH813
ae07be;RCH804
43c700;RRR2302,RRR2304,RRR2305,RRR2303,RRR2306,RRR2307,RRR2700,RRR2701,RRR2300,RRR2301,RRR2714,RRR2715,RRR2712,RRR2713,RRR2808,RRR2809,RRR2843,RRR2860,RRR2861,RRR2802,RRR2734,RRR2735,RRR2130,RRR2131,RRR2122,RRR2123,RRR2311
ae123b;RCH842,BNDGE88,RCH882,RCH849,RCH864,RCH689,RCH867,RCH839,RCH558,RCH141,RCH4590,RCH358,RCH503,RCH101,RCH244
ae1241;RCH869,RCH544,RCH833,RCH895,RCH142,RCH842,RCH4541,RCH674,RCH874,RCH340,RCH412,RCH821,RCH134,RCH551,RCH185,RCH455,RCH867,RCH801
ae0375;RCH264,RCH844
ae0155;RCH853
ae0676;RCH811,RCH877,RCH302,RCH680,RCH845,RCH644,RCH627,RCH606,RCH873,RCH816,RCH778,RCH869,RCH831,RCH169,RCH360,RCH515
ae1179;RCH248,RCH861,BNDGE15,BNDGE16,RCH833,RCH880,BNDGE57,RCH800,RCH829,RCH890,RCH894,RCH884,RCH842,RCH864,RCH469,RCH4598,RCH860,RCH806,BNDGE41,RCH841
470e17;JSH501,JSH500,JSH502,HAFIT,JSH503,JSH401,VTB500
ae0803;RCH790,RCH888,RCH811,RCH823,RCH166,RCH883,RCH884,RCH840,RCH805,RCH590,RCH880,BNDGE44,RCH800,RCH892,RCH801,RCH803,RCH877,RCH821,RCH795,RCH183,RCH837,RCH820,RCH818,RCH796
ae145d;RCH355,RCH843,RCH861,RCH874,RCH845,RCH570,RCH179,RCH139,RCH4123
ae1196;RCH348,RCH332,RCH215,RCH335,RCH806,RCH810,RCH811,RCH822,RCH825,RCH872
ae1461;RCH502,RCH844,RCH840,RCH138,RCH870,RCH180,RCH223,RCH161,RCH558,RCH824,RCH150,RCH548,RCH442,RCH735,RCH3225,RCH825,RCH821
ae0240;QID788,CLEAN01,QID44,LAGR476
ae1172;RCH430,RCH894,RCH250,RCH585,RCH145,RCH864,RCH802,RCH226,RCH845,RCH560,RCH196,RCH239,RCH813,RCH821,RCH840,RCH880,RCH830,RCH803,RCH807,RCH733,RCH856
4d03cc;NATO41,NATO07,NATO01,NATO11,NATO42,NATO40
ae057a;RCH146,RCH846,RCH606,RCH037,RCH881
ae4e17;RCH5725
ae4e18;RCH5727
a45866;N3796B
ae0480;QID690,RCH256
498448;GRZL21,GRZL22,GRZL43,OBLET01,GRZL11,GRZL31,CEF127,GRZL33,GRZL34,GRZL41,GRZL12,GRZL51,GRZL93,GRZL32,CEF05T
ae0561;RCH425,RCH859,RCH836,RCH819,RCH820,RCH854
ae10b5;RCH804,RCH917,RCH562,RCH642,RCH144,RCH871,RCH946,RCH835,RCH422,RCH878,RCH680,RCH386,RCH483,RCH866,RCH165,RCH4122
